set_num,year,theme_id,theme_name,number_of_parts,minifig_quantitiy,number_of_colors,number_of_categories,number_of_unique_parts,number_of_different_parts,not_unique_parts,proportion_unique_to_not_unique,complexity_score
080-1,1967,365,System,712,0.0,8,13,15.0,116,697.0,0.021520803443328552,0.07206980451380149
080-2,1967,365,System,712,0.0,8,13,15.0,116,697.0,0.021520803443328552,0.07206980451380149
3672-1,1982,390,Fabuland,79,0.0,11,10,21.0,42,58.0,0.3620689655172414,0.013256145649802835
3676-1,1989,390,Fabuland,50,0.0,7,12,31.0,40,19.0,1.631578947368421,0.011326453561540398
3683-1,1988,390,Fabuland,98,0.0,7,17,40.0,62,58.0,0.6896551724137931,0.018374024666498866
3675-1,1987,390,Fabuland,116,0.0,9,14,39.0,67,77.0,0.5064935064935064,0.020135917442738484
400-1,1977,465,Universal Building Set,318,3.0,8,18,18.0,91,300.0,0.06,0.03783874486114607
798-1,1972,465,Universal Building Set,2,0.0,1,1,0.0,1,2.0,0.0,0.0
911-1,1976,465,Universal Building Set,401,4.0,7,17,27.0,115,374.0,0.07219251336898395,0.04748720530245826
912-1,1976,465,Universal Building Set,472,6.0,9,24,32.0,244,440.0,0.07272727272727272,0.0656095310009229
404-1,1977,465,Universal Building Set,472,6.0,9,24,33.0,242,439.0,0.07517084282460136,0.06552563134491149
910-1,1976,465,Universal Building Set,318,3.0,8,19,20.0,92,298.0,0.06711409395973154,0.03817434348519171
402-1,1977,465,Universal Building Set,401,4.0,7,17,27.0,115,374.0,0.07219251336898395,0.04748720530245826
555-1,1976,411,Legoland,230,7.0,7,13,18.0,43,212.0,0.08490566037735849,0.02626059233157144
363-1,1975,411,Legoland,230,7.0,7,13,18.0,43,212.0,0.08490566037735849,0.02626059233157144
354-1,1972,411,Legoland,170,0.0,8,10,22.0,103,148.0,0.14864864864864866,0.02584109405151439
560-2,1973,411,Legoland,170,0.0,8,10,21.0,51,149.0,0.14093959731543623,0.02139441228290964
345-1,1969,411,Legoland,132,0.0,5,10,16.0,40,116.0,0.13793103448275862,0.01661213189025925
345-3,1970,411,Legoland,132,0.0,5,10,16.0,40,116.0,0.13793103448275862,0.01661213189025925
351-1,1971,411,Legoland,170,0.0,8,9,11.0,37,159.0,0.06918238993710692,0.019296920882624382
545-2,1973,411,Legoland,170,0.0,8,9,11.0,37,159.0,0.06918238993710692,0.019296920882624382
149-1,1976,233,Train,340,3.0,9,15,17.0,61,323.0,0.05263157894736842,0.03691584864502055
346-2,1969,411,Legoland,167,0.0,6,10,12.0,41,155.0,0.07741935483870968,0.019380820538635792
353-1,1972,411,Legoland,153,0.0,7,10,12.0,39,141.0,0.0851063829787234,0.018122325698464635
1601-1,1976,411,Legoland,200,2.0,8,15,23.0,57,177.0,0.12994350282485875,0.025169896803423106
361-1,1974,411,Legoland,215,0.0,9,13,20.0,49,195.0,0.10256410256410256,0.025253796459434517
372-1,1977,411,Legoland,257,5.0,8,11,15.0,53,242.0,0.06198347107438017,0.02886148166792516
4144-1,1995,399,Freestyle,142,0.0,6,10,17.0,43,125.0,0.136,0.017870626730430404
374-1,1978,50,Town,338,4.0,12,21,30.0,80,308.0,0.09740259740259741,0.04027183488547697
6365-1,1981,50,Town,153,1.0,9,15,25.0,54,128.0,0.1953125,0.021142713314875407
6080-1,1984,186,Castle,679,12.0,9,19,17.0,99,662.0,0.0256797583081571,0.06963671448947059
590-1,1978,50,Town,338,4.0,12,21,31.0,78,307.0,0.10097719869706841,0.04018793522946556
1821-1,1996,50,Town,196,3.0,11,20,32.0,78,164.0,0.1951219512195122,0.02810638476382247
6551-1,1992,50,Town,193,6.0,12,20,29.0,87,164.0,0.17682926829268292,0.02869368235590234
6339-1,1995,50,Town,565,4.0,14,31,60.0,204,505.0,0.1188118811881188,0.07324439969796123
5159-1,1990,443,Service Packs,2,0.0,1,1,0.0,1,2.0,0.0,0.0
6597-1,1994,50,Town,905,12.0,15,27,96.0,306,809.0,0.11866501854140915,0.11376793355147244
