fig_num,minifig_name,number_of_minifig_parts,inventory_id,minifig_quantitiy,set_num,set_name,year,number_of_parts,theme_id,theme_name,version
fig-000001,Toy Store Employee,4,42484,1,31105-1,Townhouse Toy Store,2020,554,22,Creator,1
fig-000002,Customer Kid,4,42484,1,31105-1,Townhouse Toy Store,2020,554,22,Creator,1
fig-000003,"Assassin Droid, White",8,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-000124,"Chewbacca, Reddish Brown",3,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-000516,"Darth Vader, Light Bluish Gray Skin, Scarred Right Cheek, Eyebrows",5,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-002687,"R2-D2, Light Bluish Gray Dome",4,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-002688,"Princess Leia, White Robe, Reddish Brown Hair",4,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-002689,"C-3PO, Pearl Gold",3,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003545,"Grand Moff Wilhuff Tarkin, Dark Bluish Gray, Smooth Hair",4,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003697,"Stormtrooper, Plain Black Head, Black Lines on Nose Vent",4,15042,2,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003799,R2-Q5,4,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003816,"Death Star Trooper / Imperial Trooper, Brown Eyebrows, Black Eyes, Black Helmet",4,15042,2,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003817,"Han Solo, Black Vest, Reddish Brown Legs, Black Eyes",4,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003852,"Emperor Palpatine, Light Bluish Gray Skin, Black Hands",5,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003952,"Luke Skywalker, White Robe, Straight Tan Hair, Black Eyes",4,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003954,"Protocol Droid, Black",3,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003955,"Royal Guard, Black Hands",5,15042,2,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003956,"Han Solo, Stormtrooper Disguise, Black Eyes",4,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003957,"Obi-Wan Kenobi, Old, Tan Robes, Reddish Brown Hood and Cape, Black Eyes",5,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003958,"Luke Skywalker, Black Robes, Black Eyes, Black Right Hand",4,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-003960,"Luke Skywalker, Stormtrooper Disguise, Plain Legs",4,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-010442,Mouse Droid (MSE-6-series Repair Droid),9,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-010448,Interrogation Droid,9,15042,1,10188-1,Death Star,2008,3809,158,Star Wars,1
fig-000003,"Assassin Droid, White",8,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-000124,"Chewbacca, Reddish Brown",3,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-000516,"Darth Vader, Light Bluish Gray Skin, Scarred Right Cheek, Eyebrows",5,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-002687,"R2-D2, Light Bluish Gray Dome",4,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-002688,"Princess Leia, White Robe, Reddish Brown Hair",4,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-002689,"C-3PO, Pearl Gold",3,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003545,"Grand Moff Wilhuff Tarkin, Dark Bluish Gray, Smooth Hair",4,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003697,"Stormtrooper, Plain Black Head, Black Lines on Nose Vent",4,126421,2,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003799,R2-Q5,4,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003816,"Death Star Trooper / Imperial Trooper, Brown Eyebrows, Black Eyes, Black Helmet",4,126421,2,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003852,"Emperor Palpatine, Light Bluish Gray Skin, Black Hands",5,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003952,"Luke Skywalker, White Robe, Straight Tan Hair, Black Eyes",4,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003954,"Protocol Droid, Black",3,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003955,"Royal Guard, Black Hands",5,126421,2,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003957,"Obi-Wan Kenobi, Old, Tan Robes, Reddish Brown Hood and Cape, Black Eyes",5,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003958,"Luke Skywalker, Black Robes, Black Eyes, Black Right Hand",4,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-003960,"Luke Skywalker, Stormtrooper Disguise, Plain Legs",4,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-010442,Mouse Droid (MSE-6-series Repair Droid),9,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-010448,Interrogation Droid,9,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-012291,"Han Solo, Stormtrooper Disguise, Black Eyes - 3626c Head",4,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-012292,"Han Solo, Black Vest, Reddish Brown Legs, Black Eyes - 3626c Head",4,126421,1,10188-1,Death Star,2008,3809,158,Star Wars,2
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,1619,1,1661-2,Basic Building Set in Bucket,1989,418,465,Universal Building Set,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,2201,1,1638-1,Blue Bucket,1990,466,465,Universal Building Set,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,2694,1,1520-1,Basic Set with Storage Case,1985,215,465,Universal Building Set,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,3484,1,557-1,Basic Building Set,1987,721,465,Universal Building Set,1
fig-004389,"Woman - Red Torso, Light Gray Legs",4,3484,1,557-1,Basic Building Set,1987,721,465,Universal Building Set,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,3746,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,1
fig-001010,"Man - Blue Jacket, Blue Legs, Red Hat",4,3746,2,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,1
fig-004387,"Man - Blue Torso, Black Legs",4,3746,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,1
fig-004388,"Woman - White Torso, Red Legs",4,3746,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,1
fig-004400,"Man - Red Torso, Black Legs",4,3746,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,1
fig-004469,"Woman - Red Torso, Blue Legs",4,3746,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,1
fig-004830,"Chef - White Torso, Light Gray Legs (3626a Head)",4,3746,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,1
fig-005117,"Man - Red Torso, Blue Legs, Light grey Cowboy Head",4,3746,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,1
fig-005119,"Woman - Blue Torso, White Legs, Black tails",4,3746,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,4909,1,120438-1,Basic Building Set,1985,176,465,Universal Building Set,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,8905,1,550-1,Basic Building Set,1985,577,465,Universal Building Set,1
fig-004389,"Woman - Red Torso, Light Gray Legs",4,8905,1,550-1,Basic Building Set,1985,577,465,Universal Building Set,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,11096,1,1575-2,Basic Set with Board Game,1987,240,465,Universal Building Set,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,12186,1,1963-1,Basic Set with Storage Case,1986,221,465,Universal Building Set,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,13344,1,1962-1,Basic Building Set,1985,219,465,Universal Building Set,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,110384,1,1615-1,Basic Set,1987,376,465,Universal Building Set,1
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,196860,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,2
fig-001010,"Man - Blue Jacket, Blue Legs, Red Hat",4,196860,2,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,2
fig-004387,"Man - Blue Torso, Black Legs",4,196860,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,2
fig-004388,"Woman - White Torso, Red Legs",4,196860,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,2
fig-004400,"Man - Red Torso, Black Legs",4,196860,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,2
fig-004469,"Woman - Red Torso, Blue Legs",4,196860,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,2
fig-004830,"Chef - White Torso, Light Gray Legs (3626a Head)",4,196860,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,2
fig-005117,"Man - Red Torso, Blue Legs, Light grey Cowboy Head",4,196860,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,2
fig-005119,"Woman - Blue Torso, White Legs, Black tails",4,196860,1,7745-1,High-Speed City Express Passenger Train,1985,737,233,Train,2
fig-000005,Captain America with Short Legs,3,10047,1,76065-1,Mighty Micros: Captain America vs. Red Skull,2016,95,696,Super Heroes Marvel,1
fig-001013,Red Skull with Short Legs,3,10047,1,76065-1,Mighty Micros: Captain America vs. Red Skull,2016,95,696,Super Heroes Marvel,1
fig-000006,Lloyd Avatar,5,42501,1,71716-1,Lloyd Avatar - Arcade Pod,2020,49,435,Ninjago,1
fig-000007,Lloyd / Digi Lloyd - Katana Holders,5,42501,1,71716-1,Lloyd Avatar - Arcade Pod,2020,49,435,Ninjago,1
fig-000007,Lloyd / Digi Lloyd - Katana Holders,5,42474,1,71709-1,Jay and Lloyd's Velocity Racers,2020,323,435,Ninjago,1
fig-002824,Jay / Digi Jay with Shoulder Armor,5,42474,1,71709-1,Jay and Lloyd's Velocity Racers,2020,323,435,Ninjago,1
fig-002825,Hausner with Scabbard,5,42474,1,71709-1,Jay and Lloyd's Velocity Racers,2020,323,435,Ninjago,1
fig-000007,Lloyd / Digi Lloyd - Katana Holders,5,42477,1,71712-1,Empire Temple of Madness,2020,820,435,Ninjago,1
fig-002824,Jay / Digi Jay with Shoulder Armor,5,42477,1,71712-1,Empire Temple of Madness,2020,820,435,Ninjago,1
fig-002835,Unagami with Trans-Neon Orange Base,8,42477,1,71712-1,Empire Temple of Madness,2020,820,435,Ninjago,1
fig-002836,Sushimi,5,42477,1,71712-1,Empire Temple of Madness,2020,820,435,Ninjago,1
fig-002837,Cole / Digi Cole with Scabbard,5,42477,1,71712-1,Empire Temple of Madness,2020,820,435,Ninjago,1
fig-002838,Red Visor,6,42477,1,71712-1,Empire Temple of Madness,2020,820,435,Ninjago,1
fig-000007,Lloyd / Digi Lloyd - Katana Holders,5,42793,1,71713-1,Empire Dragon,2020,295,435,Ninjago,1
fig-002823,Kai / Digi Kai with Shoulder Armor,5,42793,1,71713-1,Empire Dragon,2020,295,435,Ninjago,1
fig-002834,Unagami,6,42793,1,71713-1,Empire Dragon,2020,295,435,Ninjago,1
fig-000008,Wonder Woman,4,4138,1,76026-1,Gorilla Grodd Goes Bananas,2015,348,695,Super Heroes DC,1
fig-000009,The Flash,4,4138,1,76026-1,Gorilla Grodd Goes Bananas,2015,348,695,Super Heroes DC,1
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",5,4138,1,76026-1,Gorilla Grodd Goes Bananas,2015,348,695,Super Heroes DC,1
fig-000011,Captain Cold,4,4138,1,76026-1,Gorilla Grodd Goes Bananas,2015,348,695,Super Heroes DC,1
fig-000012,Truck Driver,4,4138,1,76026-1,Gorilla Grodd Goes Bananas,2015,348,695,Super Heroes DC,1
fig-000013,Gorilla Grodd,7,4138,1,76026-1,Gorilla Grodd Goes Bananas,2015,348,695,Super Heroes DC,1
fig-000009,The Flash,4,2182,1,76012-1,Batman: The Riddler Chase,2014,305,695,Super Heroes DC,1
fig-005012,The Riddler in Green and Dark Green Outfit with Zipper,4,2182,1,76012-1,Batman: The Riddler Chase,2014,305,695,Super Heroes DC,1
fig-005013,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Light Nougat Head, Black Hips, Muscle Outline",5,2182,1,76012-1,Batman: The Riddler Chase,2014,305,695,Super Heroes DC,1
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",5,10038,1,76055-1,Batman: Killer Croc Sewer Smash,2016,760,695,Super Heroes DC,1
fig-005270,Red Hood,3,10038,1,76055-1,Batman: Killer Croc Sewer Smash,2016,760,695,Super Heroes DC,1
fig-005271,Katana,4,10038,1,76055-1,Batman: Killer Croc Sewer Smash,2016,760,695,Super Heroes DC,1
fig-005272,Captain Boomerang in Black Outfit,4,10038,1,76055-1,Batman: Killer Croc Sewer Smash,2016,760,695,Super Heroes DC,1
fig-005275,"Killer Croc, Sand Blue Pants (Big Fig)",7,10038,1,76055-1,Batman: Killer Croc Sewer Smash,2016,760,695,Super Heroes DC,1
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",5,12526,1,76034-1,Batboat Harbor Pursuit,2015,265,695,Super Heroes DC,1
fig-005059,Deathstroke,3,12526,1,76034-1,Batboat Harbor Pursuit,2015,265,695,Super Heroes DC,1
fig-005060,Robin with Dark Green Hands and Legs,5,12526,1,76034-1,Batboat Harbor Pursuit,2015,265,695,Super Heroes DC,1
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",5,12663,1,76053-1,Batman: Gotham City Cycle Chase,2016,224,695,Super Heroes DC,1
fig-005286,Deadshot,4,12663,1,76053-1,Batman: Gotham City Cycle Chase,2016,224,695,Super Heroes DC,1
fig-005287,Harley Quinn in Blue and Red Outfit and Hair,4,12663,1,76053-1,Batman: Gotham City Cycle Chase,2016,224,695,Super Heroes DC,1
